,Impacts,Hazard,Mitigation,Causes,Invalid
2025-12-09,0.9,5.4,0.0,0.0,0.0
2025-12-10,0.0,2.7,0.0,0.0,0.0
2025-12-11,0.0,0.0,0.0,0.0,0.7
2025-12-12,3.6,6.300000000000001,0.0,0.0,0.0
2025-12-14,0.0,0.9,0.0,0.0,0.0
2025-12-15,0.0,0.9,0.0,0.9,0.0
2025-12-16,0.0,0.9,0.0,0.0,0.0
2025-12-20,0.0,0.9,0.0,0.0,0.0
2025-12-21,0.0,0.9,0.0,0.0,0.0
2025-12-22,0.0,0.9,0.0,0.0,0.0
2025-12-23,0.0,0.9,0.0,0.0,0.0
2025-12-27,0.9,5.4,0.0,0.0,0.0
2025-12-28,0.9,0.9,0.0,0.0,0.0
2025-12-29,0.0,0.9,0.0,0.0,0.0
2025-12-30,0.9,0.9,0.0,0.0,0.0
2026-01-01,0.0,0.9,0.0,0.0,0.0
2026-01-02,3.6,9.000000000000002,0.0,0.0,0.0
2026-01-03,0.0,2.7,0.0,0.9,0.0
2026-01-06,0.0,1.8,0.0,0.0,0.0
2026-01-07,0.0,0.9,0.0,0.0,0.0
2026-01-10,0.0,1.8,0.0,0.0,0.0
2026-01-13,0.9,1.8,0.0,0.0,0.0
2026-01-18,0.9,1.8,0.9,0.0,0.0
2026-01-19,0.0,0.0,0.0,0.0,0.7
2026-01-21,0.0,0.9,0.0,0.0,0.0
2026-01-23,0.9,0.9,0.0,0.0,0.0
2026-01-24,0.9,0.9,0.0,0.0,0.0
2026-01-27,0.0,1.8,0.0,0.0,0.0
2026-01-28,0.0,1.8,0.0,0.0,0.0
2026-02-03,0.0,1.8,0.0,0.9,0.0
2026-02-04,0.0,0.9,0.0,0.0,0.0
2026-02-05,0.0,1.8,0.0,0.0,0.0
2026-02-06,0.9,3.6,0.9,0.0,0.0
2026-02-09,0.0,1.8,0.0,0.0,0.0
2026-02-11,0.0,1.8,0.0,0.0,0.0
2026-02-12,0.0,1.8,0.0,0.0,0.7
2026-02-16,0.0,1.8,0.0,0.0,0.0
2026-02-21,0.0,0.9,0.0,0.0,0.0
2026-02-23,0.0,0.9,0.0,0.0,0.0
2026-02-24,0.0,1.8,0.0,0.0,0.0
2026-02-26,0.0,0.9,0.0,0.0,0.0
2026-02-27,1.8,2.7,0.0,0.0,0.0
2026-03-01,0.9,0.0,0.0,0.0,0.0
2026-03-02,0.0,3.6,0.0,0.0,0.0
2026-03-04,1.8,6.300000000000001,0.0,0.0,0.0
2026-03-05,0.0,0.9,0.0,0.0,0.0
2026-03-08,0.0,3.6,0.0,0.0,0.0
2026-03-09,0.0,2.7,0.0,0.0,0.0
2026-03-10,0.0,0.9,0.0,0.0,0.0
2026-03-11,0.9,0.0,0.0,0.0,0.0
2026-03-12,0.0,0.9,0.0,0.0,0.0
2026-03-13,0.0,0.9,0.0,0.0,0.0
2026-03-20,0.0,0.9,0.0,0.0,0.0
2026-03-22,0.0,0.9,0.0,0.0,0.0
2026-03-26,0.0,5.4,0.0,0.0,0.0
2026-03-27,0.0,2.7,0.0,0.0,0.0
2026-03-28,0.0,1.8,0.0,0.0,0.0
2026-04-01,0.0,3.6,0.0,0.0,0.0
2026-04-02,1.8,7.200000000000001,0.0,0.0,0.0
2026-04-03,0.0,0.9,0.0,0.0,0.0
2026-04-04,0.9,1.8,0.0,0.0,0.0
2026-04-06,0.0,0.9,0.0,0.0,0.0
2026-04-07,0.0,0.9,0.0,0.0,0.0
2026-04-13,0.0,0.9,0.0,0.0,0.0
2026-04-15,0.0,2.7,0.0,0.0,0.0
2026-04-20,1.8,20.699999999999996,0.0,0.0,0.7
2026-04-21,0.0,0.9,0.0,0.0,0.0
2026-04-22,0.9,6.300000000000001,0.0,0.0,0.0
2026-04-23,0.0,0.9,0.0,0.0,0.0
2026-04-24,0.0,4.5,0.0,0.0,0.0
2026-04-25,0.0,0.9,0.0,0.0,0.0
2026-04-26,0.0,0.9,0.0,0.0,0.0
2026-04-27,0.0,5.4,0.0,0.0,0.0
2026-04-29,0.0,1.8,0.0,0.0,0.0
2026-04-30,0.0,0.9,0.0,0.0,0.0
2026-05-03,0.0,0.0,0.9,0.0,0.0
2026-05-04,0.0,1.6,0.0,0.0,0.0
2026-05-05,0.0,0.7,0.0,0.0,0.0
2026-05-06,0.0,0.9,0.0,0.0,1.4
2026-05-10,0.0,0.0,1.8,0.0,0.0
2026-05-12,0.0,1.8,0.0,0.0,1.4
2026-05-14,0.0,0.9,0.0,0.0,0.7
2026-05-16,0.0,0.9,0.0,0.0,0.0
2026-05-18,1.8,4.5,0.0,0.0,0.0
2026-05-19,0.0,0.9,0.0,0.0,0.0
2026-05-20,0.0,4.5,0.0,0.0,0.0
2026-05-21,2.7,4.5,0.0,0.0,0.0
2026-05-22,0.9,0.9,0.0,0.0,0.0
2026-05-23,0.0,0.9,0.0,0.0,0.0
2026-05-25,0.9,0.0,0.0,0.0,0.0
2026-05-29,0.0,0.9,0.0,0.0,0.0
2026-06-02,0.0,2.7,0.0,0.0,0.0
2026-06-06,0.9,0.9,0.0,0.0,0.0
2026-06-07,0.0,2.7,0.0,0.0,0.0
2026-06-08,4.5,26.099999999999987,0.0,0.0,0.0
2026-06-09,0.9,5.4,0.9,0.0,0.0
2026-06-10,0.0,1.8,0.0,0.0,0.0
2026-06-14,2.7,1.8,0.0,0.0,0.0
2026-06-15,0.0,0.9,0.0,0.0,0.0
